# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.finalizedExecutionTimeUs,1767821918621000000,1767821923778000000,26366
FlushQueue.waitingTimeMaxNs,1767821918621000000,1767821923778000000,3674210303
FlushQueue.queueSize90P,1767821918621000000,1767821923778000000,353
FlushQueue.executionTimeAvgNs,1767821918621000000,1767821923778000000,8625551.313207546
FlushQueue.queueSizeAvg,1767821918621000000,1767821923778000000,170.52075471698114
NonBlockingReadAction.failedExecutionsCount,1767821918621000000,1767821923778000000,0
WriteAction.executionsCount,1767821918621000000,1767821923778000000,1
AWTEventQueue.dispatchTimeMaxNs,1767821918621000000,1767821923778000000,4529848319
AWTEventQueue.dispatchTime90PNs,1767821918621000000,1767821923778000000,31615
NonBlockingReadAction.finalizedExecutionsCount,1767821918621000000,1767821923778000000,17
AWTEventQueue.dispatchTimeAvgNs,1767821918621000000,1767821923778000000,3290366.64853257
AWTEventQueue.dispatchTimeTotalNS,1767821918621000000,1767821923778000000,4601924301
FlushQueue.executionTime90PNs,1767821918621000000,1767821923778000000,140287
FlushQueue.queueSizeMax,1767821918621000000,1767821923778000000,401
NonBlockingReadAction.failedExecutionTimeUs,1767821918621000000,1767821923778000000,0
AWTEventQueue.eventsDispatched,1767821918621000000,1767821923778000000,1397
FlushQueue.waitingTime90PNs,1767821918621000000,1767821923778000000,2466250751
ReadAction.executionsCount,1767821918621000000,1767821923778000000,45799
FlushQueue.executionTimeMaxNs,1767821918621000000,1767821923778000000,4529848319
workspaceModel.collect.changes.ms,1767821918621000000,1767821923778000000,0
workspaceModel.updates.ms,1767821918621000000,1767821923778000000,0
workspaceModel.updates.count,1767821918621000000,1767821923778000000,0
workspaceModel.cachedValue.calculated.count,1767821918621000000,1767821923778000000,1
workspaceModel.update.unloaded.entities.ms,1767821918621000000,1767821923778000000,0
workspaceModel.to.snapshot.ms,1767821918621000000,1767821923778000000,0
workspaceModel.cachedValue.from.cache.count,1767821918621000000,1767821923778000000,4
workspaceModel.init.bridges.ms,1767821918621000000,1767821923778000000,0
workspaceModel.pre.handlers.ms,1767821918621000000,1767821923778000000,0
workspaceModel.updates.precise.ms,1767821918621000000,1767821923778000000,0
workspaceModel.on.before.changed.ms,1767821918621000000,1767821923778000000,0
workspaceModel.on.changed.ms,1767821918621000000,1767821923778000000,0
workspaceModel.loading.from.cache.ms,1767821918621000000,1767821923778000000,23
workspaceModel.loading.total.ms,1767821918621000000,1767821923778000000,30
workspaceModel.full.replace.project.model.ms,1767821918621000000,1767821923778000000,0
workspaceModel.cachedValue.clear.count,1767821918621000000,1767821923778000000,0
workspaceModel.cachedValueWithParameters.clear.count,1767821918621000000,1767821923778000000,0
workspaceModel.check.recursive.update.ms,1767821918621000000,1767821923778000000,0
workspaceModel.cachedValue.total.get.count,1767821918621000000,1767821923778000000,5
workspaceModel.cachedValueWithParameters.total.get.count,1767821918621000000,1767821923778000000,0
workspaceModel.cachedValueWithParameters.calculated.count,1767821918621000000,1767821923778000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1767821918621000000,1767821923778000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1767821918621000000,1767821923778000000,3
workspaceModel.initializing.ms,1767821918621000000,1767821923778000000,0
workspaceModel.replace.project.model.ms,1767821918621000000,1767821923778000000,0
cacheStateStorage.set.duration,1767821918621000000,1767821923778000000,0
cacheStateStorage.set.counter,1767821918621000000,1767821923778000000,0
cacheStateStorage.get.counter,1767821918621000000,1767821923778000000,10
cacheStateStorage.get.duration,1767821918621000000,1767821923778000000,0
